msg_index,mensagem,prompt,tom,resposta,probabilidade,jaccard_medio,perplexidade,self_bleu,distinct_1,distinct_2,utilidade,coerencia,fidelidade,adequacao
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Formal,"Claro, posso emprestar o carregador. Você pode devolvê-lo quando estiver convenience.",20,0.2214,41.8059,0.6889,0.5417,0.7253,5,2,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Cordial,"Ah, que pena que o seu carregador quebrou! Claro que posso emprestar o meu, você pode ficar com ele até consertar ou comprar um novo.",30,0.2214,41.8059,0.6889,0.5417,0.7253,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Curto e objetivo,"Sim, pode pegar o carregador.",15,0.2214,41.8059,0.6889,0.5417,0.7253,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Empático,"Sinto muito que o seu carregador quebrou! Eu sei como é frustrante quando precisamos do celular e não podemos carregá-lo. Claro que posso emprestar o meu, você pode ficar com ele até que tudo se resolva.",25,0.2214,41.8059,0.6889,0.5417,0.7253,5,4,5,4
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Direto,"Não posso emprestar o carregador agora, preciso dele. Você pode comprar um novo ou encontrar outra solução?",10,0.2214,41.8059,0.6889,0.5417,0.7253,5,4,5,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Formal,"Claro, segue o link do filme que mencionei ontem: [inserir link]. Espero que você desfrute do filme.",20,0.1941,32.2943,0.6925,0.5432,0.8026,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Curto e objetivo,Link do filme: [inserir link],30,0.1941,32.2943,0.6925,0.5432,0.8026,5,3,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Cordial,"Oi! Claro, eu te mando o link do filme que falamos ontem. Você vai adorar! Aqui está: [inserir link]",25,0.1941,32.2943,0.6925,0.5432,0.8026,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Mais empático,Que ótimo que você está ansioso para assistir ao filme! Eu estou muito feliz em compartilhar o link com você: [inserter link]. Espero que você tenha uma ótima noite de cinema!,15,0.1941,32.2943,0.6925,0.5432,0.8026,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Mais direto,Link: [inserir link]. Assisti ontem e é muito bom.,10,0.1941,32.2943,0.6925,0.5432,0.8026,5,4,4,3
