msg_index,mensagem,prompt,tom,resposta,probabilidade,jaccard_medio,perplexidade,self_bleu,distinct_1,distinct_2,utilidade,coerencia,fidelidade,adequacao
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Formal,"Infelizmente, não posso emprestar meu carregador. Você pode procurar outro carregador ou ir a um loja de eletrônicos mais próxima.",10,0.1995,37.9475,0.7181,0.5412,0.8,4.6,4.2,4.1,4.2
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Cordial,"Claro, posso emprestar meu carregador para você! Qual é o seu número de celular para eu te mandar uma foto dele?",30,0.1995,37.9475,0.7181,0.5412,0.8,4.7,4.3,4.3,4.3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Mais direto,"Sim, posso emprestar meu carregador. Encontro você lá ou envio para você?",40,0.1995,37.9475,0.7181,0.5412,0.8,4.5,3.7,4.1,2.0
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Mais empático,Sinto muito que seu carregador quebrou! Claro que posso te ajudar. Você pode vir pegar o carregador aqui ou eu envio para você?,15,0.1995,37.9475,0.7181,0.5412,0.8,4.1,4.5,4.1,2.7
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Curto e objetivo,"Sim, posso emprestar. Vou te mandar uma foto dele.",5,0.1995,37.9475,0.7181,0.5412,0.8,4.7,3.1,1.4,2.1
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Formal,"Claro, posso providenciar o link do filme para você. No entanto, preciso saber qual filme você está se referindo. Por favor, me forneça mais informações.",10%,0.3183,35.0913,0.8092,0.4466,0.6939,4.7,4.9,3.2,4.4
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Cordial,"Sim, claro! Qual filme você quer assistir hoje à noite? Vou mandar o link para você assim que possível.",40%,0.3183,35.0913,0.8092,0.4466,0.6939,4.4,4.6,3.0,4.7
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Mais direto,Qual filme? Vou mandar o link assim que saber qual é.,20%,0.3183,35.0913,0.8092,0.4466,0.6939,4.7,3.8,3.3,2.4
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Empático,"Entendi que você quer assistir ao filme hoje à noite! Vou verificar se eu mencionei o filme ontem e se for o caso, vou mandar o link para você.",15%,0.3183,35.0913,0.8092,0.4466,0.6939,3.0,4.3,3.4,3.4
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 respostas com tons diferentes.
Para cada um, indique o tom e uma probabilidade estimada de ser a resposta mais adequada (em %).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",Cortês,"Claro, que ótimo! Qual é o nome do filme e vou mandar o link para você assim que possível.",15%,0.3183,35.0913,0.8092,0.4466,0.6939,4.5,3.9,3.1,2.8
