msg_index,mensagem,prompt,tom,resposta,probabilidade,jaccard_medio,perplexidade,self_bleu,distinct_1,distinct_2,utilidade,coerencia,fidelidade,adequacao
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",formal,"Prezada pessoa, lamento o inconveniente. Posso disponibilizar meu carregador por alguns minutos; avise-me onde e quando desejar.",92,0.1089,49.3647,0.3834,0.7703,0.9275,5,4,5,4
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",informal,"Claro, sem stress! Trago o carregador rapidinho, só me diz onde tá o seu celular.",85,0.1089,49.3647,0.3834,0.7703,0.9275,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",humorístico,"Meu carregador está livre, mas só aceita pagamento em sorrisos e memes. Topa?",78,0.1089,49.3647,0.3834,0.7703,0.9275,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",empático,"Entendo como é chato ficar sem bateria. Vou trazer o meu carregador agora mesmo, assim você não perde nenhuma chamada importante.",88,0.1089,49.3647,0.3834,0.7703,0.9275,5,4,5,4
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Dado a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",direto,"Sim, pode pegar o meu carregador agora.",95,0.1089,49.3647,0.3834,0.7703,0.9275,5,4,5,5
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",formal,"Prezada pessoa, segue abaixo o endereço eletrônico do filme mencionado na conversa anterior: https://exemplo.com/filme. Caso necessite de mais informações ou auxílio para reproduzir o conteúdo, estou à disposição.",22,0.2223,50.9797,0.5841,0.6111,0.8252,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",conciso,Aqui está o link: https://exemplo.com/filme,18,0.2223,50.9797,0.5841,0.6111,0.8252,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",cordial e entusiasmado,"Oi! Claro, aqui vai o link do filme que comentamos: https://exemplo.com/filme. Boa sessão esta noite!",20,0.2223,50.9797,0.5841,0.6111,0.8252,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",humorístico,"Tá na hora de maratonar! 🎬 👉 https://exemplo.com/filme — prepare a pipoca e o sofá, que a noite vai ser épica.",15,0.2223,50.9797,0.5841,0.6111,0.8252,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Dado a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.
Gere 5 rascunhos de resposta MUITO diferentes entre si.
Evite repetir palavras, estruturas de frase ou abordagens entre as respostas.
Varie o comprimento, a abertura e o estilo de cada resposta.
Para cada um, indique o tom e a probabilidade estimada (%).
Formato de resposta (obrigatório), uma lista JSON neste formato exato:
[
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}},
  {{""tom"": ""*"", ""probabilidade"": *, ""resposta"": ""texto aqui""}}
]",empático,Entendo que você quer relaxar hoje à noite. Este é o link do filme que sugeri: https://exemplo.com/filme. Espero que aproveite e tenha um ótimo momento de descanso.,25,0.2223,50.9797,0.5841,0.6111,0.8252,5,4,4,4
