msg_index,mensagem,prompt,tom,resposta,probabilidade,jaccard_medio,perplexidade,self_bleu,distinct_1,distinct_2,utilidade,coerencia,fidelidade,adequacao
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Produza 5 respostas para a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",Formal,"Claro, posso emprestar o meu carregador. Você pode pegá-lo agora e usar para carregar o seu celular.",100,0.1974,37.2776,0.7027,0.5663,0.8077,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Produza 5 respostas para a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",Curto e objetivo,"Sim, pode pegar o carregador.",100,0.1974,37.2776,0.7027,0.5663,0.8077,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Produza 5 respostas para a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",Cordial,"Ah, que pena que o seu carregador quebrou! Claro que sim, você pode usar o meu. Está aqui na mesa, pode pegar.",100,0.1974,37.2776,0.7027,0.5663,0.8077,5,4,5,3
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Produza 5 respostas para a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",Empático,"Sinto muito que o seu carregador quebrou! Eu sei como é frustrante quando isso acontece. Claro que posso emprestar o meu, use à vontade e não se preocupe.",100,0.1974,37.2776,0.7027,0.5663,0.8077,5,4,5,4
0,"Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora.","Produza 5 respostas para a seguinte mensagem: Oi, você pode me emprestar seu carregador? O meu quebrou e preciso carregar o celular agora., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",Direto,"O carregador está aqui, pode usar. Depois me devolve, ok?",100,0.1974,37.2776,0.7027,0.5663,0.8077,5,4,5,4
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Produza 5 respostas para a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",formal,"Claro, posso fornecer o link do filme que mencionei ontem. No entanto, gostaria de verificar se o link ainda está ativo. Por favor, aguarde um momento enquanto verifico.",100,0.2212,44.7474,0.6619,0.5701,0.7941,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Produza 5 respostas para a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",curto e objetivo,Link do filme: [inserir link aqui],100,0.2212,44.7474,0.6619,0.5701,0.7941,5,3,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Produza 5 respostas para a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",cordial,"Oi! Claro, eu posso te mandar o link do filme que falamos ontem. Você vai adorar! Aqui está: [inserir link aqui]",100,0.2212,44.7474,0.6619,0.5701,0.7941,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Produza 5 respostas para a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",mais empático,"Ah, que legal que você esteja ansioso para assistir ao filme! Eu me lembro de ter mencionado ontem e estou feliz em compartilhar o link com você. Aqui está: [inserir link aqui]. Espero que você desfrute do filme esta noite!",100,0.2212,44.7474,0.6619,0.5701,0.7941,5,4,4,3
1,Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite.,"Produza 5 respostas para a seguinte mensagem: Me manda o link daquele filme que você falou ontem? Quero assistir hoje à noite., com tons diferentes.
Formato de resposta (obrigatório), uma lista JSON neste formato exato, os valores de probabilidade devem ser ignorados e apenas copiados para o JSON de resposta final
[
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}},
{{""tom"": ""*"", ""probabilidade"": 100, ""resposta"": ""texto aqui""}}
]",mais direto,O link do filme é [inserir link aqui]. Acesse e assista logo!,100,0.2212,44.7474,0.6619,0.5701,0.7941,5,4,4,3
